,QB_cap,RB_cap,WR_cap,TE_cap,OL_cap,ED_cap,DL_cap,LB_cap,CB_cap,S_cap,K_cap,P_cap,LS_cap,QB_avg,RB_avg,WR_avg,TE_avg,OL_avg,ED_avg,DL_avg,LB_avg,CB_avg,S_avg,K_avg,P_avg,LS_avg,W-L%,W,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
QB_cap,1.0,-0.023933698463983064,0.11213974317423464,0.19012913129289938,0.21403193082171554,0.07001441757533976,0.0968371150563542,0.012133557243729417,-0.026583127041861058,0.1461277744392906,0.02047122342417496,0.05891349589430014,0.0065905646943308326,0.7686017389967388,0.003410835750023017,0.1300298895521964,0.14880529459603906,0.2285145973603049,0.0779097535651079,0.09607488701899698,0.010860247841795933,0.0006495476259116214,0.12068018231256586,0.056093521407729226,0.09246618258337834,0.051273114243260885,0.2691978760335772,0.2781336033320576,0.32095554346427435,-0.04176328371551799,0.251759293259631,0.25011744029539085,-0.05008090866457811,0.24474425870270272,0.27459314843843,0.09015733229889891
RB_cap,-0.023933698463983064,1.0,-0.0365973408826932,0.05506039454891368,0.05289057825433714,-0.0013897915178355082,-0.01932729314611183,0.08831035089515031,-0.04682496520894195,0.09172184944344527,0.048710966590647546,-0.002478969817311806,0.16005807037594885,0.06701271505892854,0.8526976807112656,0.017910027647510474,0.0264462223936688,0.05046425523354475,0.002528668147274515,0.003387573393758519,0.12974833665336077,-0.056496032088275305,0.11618287495992781,0.03879449904154652,-0.005765710523315167,0.15928909536150979,0.06788605018595256,0.07598953579718588,0.0635198490260239,-0.03837524932139919,0.06674403119977793,0.06665971224806706,-0.03546800132128611,0.05986966574875892,0.04829453498760757,0.046151241245304044
WR_cap,0.11213974317423464,-0.0365973408826932,1.0,0.23155787571743514,0.16935308382807987,0.18678215629893702,0.23469995005337582,0.06151305124245452,0.14344215412646677,0.12059077861041594,0.059143179291692494,0.07920091839999754,0.11649451568928433,0.1462310293441328,-0.014246454913497776,0.8052453382479337,0.21521994117519985,0.16059411377078708,0.2125705949633326,0.24716026782294578,0.028299825396034206,0.1771571085828113,0.09426969159615099,0.07013657920110487,0.0791365732903509,0.17614462566990857,0.17246599361158005,0.1894837268176351,0.20874420762113316,-0.012548256319758744,0.15552858586086196,0.15589883611657962,0.01801090473828453,0.16399312996198995,0.18664716683514657,0.056600494656494055
TE_cap,0.19012913129289938,0.05506039454891368,0.23155787571743514,1.0,0.22879742757673635,0.13794297470384498,0.08811425206333115,0.14881603066263652,0.03842179194036805,0.1657741784608512,0.1789664884965232,0.03209370966642283,0.11902454071031583,0.19516788022544404,0.07322192864851423,0.2565800080057572,0.8499154320119706,0.24939905960098194,0.20291420543718455,0.11991570249514058,0.1684390033646732,0.061311010797338424,0.1235075118862119,0.20260016520478102,0.039583462672334924,0.10575304562407992,0.14230542970820773,0.1632946265177565,0.1358500139167055,-0.05167330490775772,0.12566393166397488,0.12466137337066954,-0.05233127874741713,0.11454319545614185,0.08845331052462554,0.09350051809201212
OL_cap,0.21403193082171554,0.05289057825433714,0.16935308382807987,0.22879742757673635,1.0,0.15787338544205917,0.21968128682041455,0.05483489821327178,0.12369313868635615,0.10327090253898599,0.04429375971051564,0.12107654114344095,0.15395998723629478,0.26840507276365566,0.10760413396559755,0.2452002955203181,0.2740293560150193,0.8755360565225042,0.17765027647215134,0.2538458185404058,0.09740969152412446,0.19355104611339446,0.11645073763840465,0.10680417473303828,0.12133137136463043,0.19420528878516022,0.18020380203145014,0.20871209514905872,0.2278720759711856,-0.006969250418277691,0.16599922262201258,0.16459170339112647,-0.015975401893930326,0.16515624939514245,0.17971458218936373,0.06781207039519498
ED_cap,0.07001441757533976,-0.0013897915178355082,0.18678215629893702,0.13794297470384498,0.15787338544205917,1.0,0.1926653810487884,-0.0996210186570252,0.03810628029926372,0.17551672483525887,0.06630939294095275,0.035763011405683866,0.20085789260696157,0.13452161641583552,0.04767857974959054,0.18768655371263765,0.18779570157181827,0.15485976890595998,0.8720166876740293,0.20127760975190687,-0.06431231387959878,0.05619555060599293,0.20871980283993305,0.09027296064951879,0.06863704916410424,0.2179767806504338,0.1671455773627476,0.18171971847847504,0.13279764032898508,-0.0860850450136099,0.14282869376868368,0.14023763149517182,-0.005869529113548136,0.1425853503348846,0.08340516590356468,0.1506707790916117
DL_cap,0.0968371150563542,-0.01932729314611183,0.23469995005337582,0.08811425206333115,0.21968128682041455,0.1926653810487884,1.0,-0.2574873324370495,0.225442829422251,0.09439302301890079,0.04333321358506681,0.07922981045503773,0.21297336281210028,0.18016755320673655,0.023391484141978284,0.2892144471121058,0.128887661759469,0.2547913581390573,0.18582373998185528,0.9226403190678535,-0.20780504879941758,0.2695456777511443,0.12995934656602529,0.07555635392198488,0.11163326869678479,0.269221826104441,0.09171995432402104,0.1170122843699382,0.12258456667030333,-0.015073319780943305,0.09566289022286721,0.09562289473844833,-0.07120904950605916,0.0800762770892128,0.04767098107783812,0.08417919421383885
LB_cap,0.012133557243729417,0.08831035089515031,0.06151305124245452,0.14881603066263652,0.05483489821327178,-0.0996210186570252,-0.2574873324370495,1.0,-0.03539327984826976,0.06333075343185343,0.012342707567225664,-0.10781081234832818,0.05931620883361187,0.011242668653608066,0.08199588503681708,0.09327618913486484,0.1211186066766251,0.025570477257743692,-0.045310851199307826,-0.23239244685892388,0.8781351780099413,-0.01817632477587396,0.04840264579226715,0.010396550836826805,-0.08642093356241966,0.025214047464105233,0.11332226100012181,0.1183427144251618,0.11369054453754757,-0.08850048201069009,0.13059522946057855,0.13256127505861307,0.009128994073048641,0.13825815020424528,0.11202498503849155,0.10554831997375529
CB_cap,-0.026583127041861058,-0.04682496520894195,0.14344215412646677,0.03842179194036805,0.12369313868635615,0.03810628029926372,0.225442829422251,-0.03539327984826976,1.0,0.016953390081265902,0.037620328603306975,0.08121010440211704,0.1326225325732339,-0.012822100853315865,0.0007902501250841199,0.165491640600778,0.08157392111478601,0.13692439169441373,0.09681897833527173,0.23743149795818538,-0.021216533101071692,0.8431987939615468,0.030678559873710508,0.053141782739839015,0.0618402851597231,0.15452009210284753,0.07708950676836938,0.08497940377928465,0.038660762290141745,-0.1018388550984904,0.08472207169451074,0.08479006542433852,-0.05060153107397223,0.07471687276692184,0.009127632198491935,0.12359200812661209
S_cap,0.1461277744392906,0.09172184944344527,0.12059077861041594,0.1657741784608512,0.10327090253898599,0.17551672483525887,0.09439302301890079,0.06333075343185343,0.016953390081265902,1.0,0.12239652044089237,0.011294800860459262,0.10406391798687294,0.24113589107410616,0.12798041452832487,0.12068659295022278,0.1796530617152499,0.07761139799777438,0.1457808117864703,0.09756194862982359,0.06674732785534285,0.04617837264020534,0.8419269177065686,0.17170268398617916,0.023711921267194132,0.1355585654884889,0.22779791410054787,0.2428824193340889,0.18020652453107913,-0.19072088746330879,0.23534484185409266,0.2356234783549427,-0.04777230755575126,0.23004135768141554,0.15124113547844711,0.22158423931798527
K_cap,0.02047122342417496,0.048710966590647546,0.059143179291692494,0.1789664884965232,0.04429375971051564,0.06630939294095275,0.04333321358506681,0.012342707567225664,0.037620328603306975,0.12239652044089237,1.0,0.06312929623077697,0.022177982382646986,0.0911944321711462,0.06748095601133412,0.16438469366843306,0.17171141104140736,0.05869013524809413,0.07349926374711323,0.07825059695071564,0.020097617595667715,0.0680750913299829,0.13969685079679747,0.8899966610231096,0.03769525538506897,0.027957990174167512,0.08128375100026512,0.09656775147133648,0.06013616214234792,-0.01167719876704916,0.049335667519076164,0.04936714773865129,-0.025178045752230614,0.044463119112639046,0.034543470076402454,0.03651069858840628
P_cap,0.05891349589430014,-0.002478969817311806,0.07920091839999754,0.03209370966642283,0.12107654114344095,0.035763011405683866,0.07922981045503773,-0.10781081234832818,0.08121010440211704,0.011294800860459262,0.06312929623077697,1.0,0.11852162711503866,0.04297770376106702,0.023401835590265766,0.1353229699362216,0.005460105180262572,0.12061697925667746,0.0304767133301788,0.09181827514962464,-0.06695164702232849,0.103051709283812,0.03525983486348296,0.0615276895497279,0.8829109773821436,0.13283687116253856,0.05043725142221637,0.0540209455273996,0.09067560563433606,0.0007496643091456313,0.06407545100236563,0.0647838593365834,-0.012658007372347213,0.06376117472819497,0.07778388441204488,0.015269643750441365
LS_cap,0.0065905646943308326,0.16005807037594885,0.11649451568928433,0.11902454071031583,0.15395998723629478,0.20085789260696157,0.21297336281210028,0.05931620883361187,0.1326225325732339,0.10406391798687294,0.022177982382646986,0.11852162711503866,1.0,0.09835650020623955,0.18518524465694475,0.1567436606501731,0.17564424405628237,0.20110713219237994,0.241981833080278,0.24706765195605696,0.12956884913218938,0.20134740950911822,0.13482987480711664,0.05457393854144048,0.11053048885085294,0.8524313317372982,0.03953929238477457,0.06376081569695455,0.04476185912234191,-0.0023740893007556576,0.03317267561085353,0.032322032008462134,-0.07230539983679345,0.015369004036838569,-0.022032582312335326,0.0565359171225917
QB_avg,0.7686017389967388,0.06701271505892854,0.1462310293441328,0.19516788022544404,0.26840507276365566,0.13452161641583552,0.18016755320673655,0.011242668653608066,-0.012822100853315865,0.24113589107410616,0.0911944321711462,0.04297770376106702,0.09835650020623955,1.0,0.1239462201221906,0.24031566813704325,0.20631952568064535,0.32314028098174197,0.14140815984597216,0.1945922126531832,0.055481519173295996,0.04489785943262796,0.22120846811920594,0.1618983519032929,0.06483374505576533,0.1775938195408525,0.24060022746687923,0.26353985934538143,0.3354181433941257,-0.020079334385685117,0.24986223485532807,0.2458106890776997,-0.06522148518087405,0.2366146797494663,0.2674429160276687,0.08402340265758235
RB_avg,0.003410835750023017,0.8526976807112656,-0.014246454913497776,0.07322192864851423,0.10760413396559755,0.04767857974959054,0.023391484141978284,0.08199588503681708,0.0007902501250841199,0.12798041452832487,0.06748095601133412,0.023401835590265766,0.18518524465694475,0.1239462201221906,1.0,0.07865875612983263,0.07517643971682707,0.1545754982377892,0.0784385391867967,0.05164472222260047,0.1650547308910383,0.04828260560279276,0.16458766601330999,0.04760445998647212,0.035911149759120825,0.20270993723322492,0.0816119546300477,0.0980715474638625,0.11697747746518154,-0.02739985062918953,0.09860087398034494,0.0965676310241788,-0.04744401515168686,0.08760979101225187,0.07983122085656387,0.05569972855665889
WR_avg,0.1300298895521964,0.017910027647510474,0.8052453382479337,0.2565800080057572,0.2452002955203181,0.18768655371263765,0.2892144471121058,0.09327618913486484,0.165491640600778,0.12068659295022278,0.16438469366843306,0.1353229699362216,0.1567436606501731,0.24031566813704325,0.07865875612983263,1.0,0.2782325391157825,0.3110769321453175,0.2700863924302608,0.337333397103442,0.1217109607809334,0.2569086960494817,0.13624207689724868,0.17948758150067795,0.16084435996311136,0.2304341958853286,0.16833211250831104,0.20142548019582893,0.21471669064012805,-0.028907357865831717,0.16896890111705398,0.1685064813155349,-0.0054888399219044206,0.17085672599165289,0.16448358993709503,0.0976917618270777
TE_avg,0.14880529459603906,0.0264462223936688,0.21521994117519985,0.8499154320119706,0.2740293560150193,0.18779570157181827,0.128887661759469,0.1211186066766251,0.08157392111478601,0.1796530617152499,0.17171141104140736,0.005460105180262572,0.17564424405628237,0.20631952568064535,0.07517643971682707,0.2782325391157825,1.0,0.33931521305302925,0.2828517266177365,0.18749325243779633,0.19520039427416847,0.1330652789459462,0.16987331296185776,0.20082013923833683,0.018425373198377695,0.17415531672933018,0.176982151855878,0.20707085556261726,0.17995130734468073,-0.08664207386912791,0.17668163678976567,0.17454912815379556,-0.055330556121903296,0.16532322717080064,0.12827990857303798,0.1339776331351065
OL_avg,0.2285145973603049,0.05046425523354475,0.16059411377078708,0.24939905960098194,0.8755360565225042,0.15485976890595998,0.2547913581390573,0.025570477257743692,0.13692439169441373,0.07761139799777438,0.05869013524809413,0.12061697925667746,0.20110713219237994,0.32314028098174197,0.1545754982377892,0.3110769321453175,0.33931521305302925,1.0,0.23226917496636815,0.2992143376862316,0.09743287244868293,0.2642018930268379,0.13378892487268648,0.124611598078288,0.12091020348935262,0.24764250218627615,0.1624380017419225,0.20090644944800332,0.24297100628659274,0.018394223093169716,0.1624872628200986,0.15986204011638863,-0.0311886452195305,0.15639577969433183,0.17457228502624444,0.05902639861392715
ED_avg,0.0779097535651079,0.002528668147274515,0.2125705949633326,0.20291420543718455,0.17765027647215134,0.8720166876740293,0.18582373998185528,-0.045310851199307826,0.09681897833527173,0.1457808117864703,0.07349926374711323,0.0304767133301788,0.241981833080278,0.14140815984597216,0.0784385391867967,0.2700863924302608,0.2828517266177365,0.23226917496636815,1.0,0.22697467637323532,0.02095435407697802,0.15554307488604732,0.18740009658681187,0.11097050791363841,0.07160042706623915,0.25679720918025095,0.1769848954980702,0.20173068891474494,0.16044231635103223,-0.06191911561696164,0.14891329975478604,0.14572080283082342,-0.004519145918444111,0.1485312554228386,0.09872841971318672,0.1414323582622402
DL_avg,0.09607488701899698,0.003387573393758519,0.24716026782294578,0.11991570249514058,0.2538458185404058,0.20127760975190687,0.9226403190678535,-0.23239244685892388,0.23743149795818538,0.09756194862982359,0.07825059695071564,0.09181827514962464,0.24706765195605696,0.1945922126531832,0.05164472222260047,0.337333397103442,0.18749325243779633,0.2992143376862316,0.22697467637323532,1.0,-0.17318044843169345,0.2988981522954968,0.10581049120153342,0.12515840370010248,0.12755619387484785,0.29874618370159783,0.08414449948158109,0.11453577698437131,0.11823729741086124,0.006667014000216845,0.08035487053908971,0.08096544205166513,-0.0692522370506939,0.06542588390497152,0.037397369948677234,0.07080948250964708
LB_avg,0.010860247841795933,0.12974833665336077,0.028299825396034206,0.1684390033646732,0.09740969152412446,-0.06431231387959878,-0.20780504879941758,0.8781351780099413,-0.021216533101071692,0.06674732785534285,0.020097617595667715,-0.06695164702232849,0.12956884913218938,0.055481519173295996,0.1650547308910383,0.1217109607809334,0.19520039427416847,0.09743287244868293,0.02095435407697802,-0.17318044843169345,1.0,0.03804054692540097,0.07050569458130936,0.03345053992775617,-0.031903621437602364,0.10831776014356709,0.09335125941359018,0.10837006412844583,0.1326765361582859,-0.05624214677198557,0.1259738903256606,0.1260511051981459,0.01040850168133128,0.13202460181069256,0.11617479338376849,0.0888741358488934
CB_avg,0.0006495476259116214,-0.056496032088275305,0.1771571085828113,0.061311010797338424,0.19355104611339446,0.05619555060599293,0.2695456777511443,-0.01817632477587396,0.8431987939615468,0.04617837264020534,0.0680750913299829,0.103051709283812,0.20134740950911822,0.04489785943262796,0.04828260560279276,0.2569086960494817,0.1330652789459462,0.2642018930268379,0.15554307488604732,0.2988981522954968,0.03804054692540097,1.0,0.0713500458808708,0.10368567419231128,0.10064108515893881,0.22321660139343713,0.11125762009725997,0.130259326267997,0.0734903832734074,-0.12270263900040099,0.12121936329217828,0.12094302218959681,-0.05174488103439781,0.11181192164909917,0.03294254122256448,0.16020491645729687
S_avg,0.12068018231256586,0.11618287495992781,0.09426969159615099,0.1235075118862119,0.11645073763840465,0.20871980283993305,0.12995934656602529,0.04840264579226715,0.030678559873710508,0.8419269177065686,0.13969685079679747,0.03525983486348296,0.13482987480711664,0.22120846811920594,0.16458766601330999,0.13624207689724868,0.16987331296185776,0.13378892487268648,0.18740009658681187,0.10581049120153342,0.07050569458130936,0.0713500458808708,1.0,0.19346006360370938,0.03910494328474015,0.17644765167321377,0.1980522456571033,0.21995377524471257,0.16705265566586938,-0.16138478640619902,0.209504726577536,0.2095965656238449,-0.052724498507132574,0.20192630051848548,0.12641418324657486,0.20326217622936507
K_avg,0.056093521407729226,0.03879449904154652,0.07013657920110487,0.20260016520478102,0.10680417473303828,0.09027296064951879,0.07555635392198488,0.010396550836826805,0.053141782739839015,0.17170268398617916,0.8899966610231096,0.0615276895497279,0.05457393854144048,0.1618983519032929,0.04760445998647212,0.17948758150067795,0.20082013923833683,0.124611598078288,0.11097050791363841,0.12515840370010248,0.03345053992775617,0.10368567419231128,0.19346006360370938,1.0,0.029487537854424723,0.07178903719852453,0.131687664104643,0.1530692851219131,0.10062355648279428,-0.033770821531244194,0.09054832279860649,0.08986699672118509,-0.050906586148622285,0.07975454502298054,0.06156149097638315,0.06543483984128792
P_avg,0.09246618258337834,-0.005765710523315167,0.0791365732903509,0.039583462672334924,0.12133137136463043,0.06863704916410424,0.11163326869678479,-0.08642093356241966,0.0618402851597231,0.023711921267194132,0.03769525538506897,0.8829109773821436,0.11053048885085294,0.06483374505576533,0.035911149759120825,0.16084435996311136,0.018425373198377695,0.12091020348935262,0.07160042706623915,0.12755619387484785,-0.031903621437602364,0.10064108515893881,0.03910494328474015,0.029487537854424723,1.0,0.12922205543434034,0.045553068601759235,0.04995557335865236,0.11213846560070277,0.019673278964112733,0.0687086365907647,0.06974186387106371,0.0031766390313281096,0.072689502296719,0.09552593655896713,0.008220828370929998
LS_avg,0.051273114243260885,0.15928909536150979,0.17614462566990857,0.10575304562407992,0.19420528878516022,0.2179767806504338,0.269221826104441,0.025214047464105233,0.15452009210284753,0.1355585654884889,0.027957990174167512,0.13283687116253856,0.8524313317372982,0.1775938195408525,0.20270993723322492,0.2304341958853286,0.17415531672933018,0.24764250218627615,0.25679720918025095,0.29874618370159783,0.10831776014356709,0.22321660139343713,0.17644765167321377,0.07178903719852453,0.12922205543434034,1.0,0.005514567458039267,0.03350517736329989,0.045286485047485364,0.0697275500922141,-0.006967926063035286,-0.00708448270350508,-0.056286877546027084,-0.02124905137481076,-0.03355529017333646,0.004698761695564467
W-L%,0.2691978760335772,0.06788605018595256,0.17246599361158005,0.14230542970820773,0.18020380203145014,0.1671455773627476,0.09171995432402104,0.11332226100012181,0.07708950676836938,0.22779791410054787,0.08128375100026512,0.05043725142221637,0.03953929238477457,0.24060022746687923,0.0816119546300477,0.16833211250831104,0.176982151855878,0.1624380017419225,0.1769848954980702,0.08414449948158109,0.09335125941359018,0.11125762009725997,0.1980522456571033,0.131687664104643,0.045553068601759235,0.005514567458039267,1.0,0.996472865517181,0.7544758063645902,-0.6587459465931961,0.9067993757937861,0.907576868664361,-0.20904010122375374,0.8813143133634589,0.7561315616235363,0.6240343106576038
W,0.2781336033320576,0.07598953579718588,0.1894837268176351,0.1632946265177565,0.20871209514905872,0.18171971847847504,0.1170122843699382,0.1183427144251618,0.08497940377928465,0.2428824193340889,0.09656775147133648,0.0540209455273996,0.06376081569695455,0.26353985934538143,0.0980715474638625,0.20142548019582893,0.20707085556261726,0.20090644944800332,0.20173068891474494,0.11453577698437131,0.10837006412844583,0.130259326267997,0.21995377524471257,0.1530692851219131,0.04995557335865236,0.03350517736329989,0.996472865517181,1.0,0.7602216966202922,-0.6471812731821489,0.9043882060168646,0.9045380507759602,-0.20868771354083201,0.8782314581545735,0.7549573492480834,0.6199634522582593
PF,0.32095554346427435,0.0635198490260239,0.20874420762113316,0.1358500139167055,0.2278720759711856,0.13279764032898508,0.12258456667030333,0.11369054453754757,0.038660762290141745,0.18020652453107913,0.06013616214234792,0.09067560563433606,0.04476185912234191,0.3354181433941257,0.11697747746518154,0.21471669064012805,0.17995130734468073,0.24297100628659274,0.16044231635103223,0.11823729741086124,0.1326765361582859,0.0734903832734074,0.16705265566586938,0.10062355648279428,0.11213846560070277,0.045286485047485364,0.7544758063645902,0.7602216966202922,1.0,-0.22310347949457401,0.8366517651125546,0.8353838847055001,-0.2371837740122346,0.8007995404382529,0.9579010852586027,0.2169858219720548
PA,-0.04176328371551799,-0.03837524932139919,-0.012548256319758744,-0.05167330490775772,-0.006969250418277691,-0.0860850450136099,-0.015073319780943305,-0.08850048201069009,-0.1018388550984904,-0.19072088746330879,-0.01167719876704916,0.0007496643091456313,-0.0023740893007556576,-0.020079334385685117,-0.02739985062918953,-0.028907357865831717,-0.08664207386912791,0.018394223093169716,-0.06191911561696164,0.006667014000216845,-0.05624214677198557,-0.12270263900040099,-0.16138478640619902,-0.033770821531244194,0.019673278964112733,0.0697275500922141,-0.6587459465931961,-0.6471812731821489,-0.22310347949457401,1.0,-0.7205893039013678,-0.7215428797059906,0.10725445615771528,-0.7145069195361963,-0.2803423984716904,-0.935366869022422
PD,0.251759293259631,0.06674403119977793,0.15552858586086196,0.12566393166397488,0.16599922262201258,0.14282869376868368,0.09566289022286721,0.13059522946057855,0.08472207169451074,0.23534484185409266,0.049335667519076164,0.06407545100236563,0.03317267561085353,0.24986223485532807,0.09860087398034494,0.16896890111705398,0.17668163678976567,0.1624872628200986,0.14891329975478604,0.08035487053908971,0.1259738903256606,0.12121936329217828,0.209504726577536,0.09054832279860649,0.0687086365907647,-0.006967926063035286,0.9067993757937861,0.9043882060168646,0.8366517651125546,-0.7205893039013678,1.0,0.9996339811511368,-0.2289725949199876,0.9710809782682938,0.8388696430981061,0.679920649456006
MoV,0.25011744029539085,0.06665971224806706,0.15589883611657962,0.12466137337066954,0.16459170339112647,0.14023763149517182,0.09562289473844833,0.13256127505861307,0.08479006542433852,0.2356234783549427,0.04936714773865129,0.0647838593365834,0.032322032008462134,0.2458106890776997,0.0965676310241788,0.1685064813155349,0.17454912815379556,0.15986204011638863,0.14572080283082342,0.08096544205166513,0.1260511051981459,0.12094302218959681,0.2095965656238449,0.08986699672118509,0.06974186387106371,-0.00708448270350508,0.907576868664361,0.9045380507759602,0.8353838847055001,-0.7215428797059906,0.9996339811511368,1.0,-0.22847310736142554,0.9715380061553054,0.8382397202067416,0.6815627829601861
SoS,-0.05008090866457811,-0.03546800132128611,0.01801090473828453,-0.05233127874741713,-0.015975401893930326,-0.005869529113548136,-0.07120904950605916,0.009128994073048641,-0.05060153107397223,-0.04777230755575126,-0.025178045752230614,-0.012658007372347213,-0.07230539983679345,-0.06522148518087405,-0.04744401515168686,-0.0054888399219044206,-0.055330556121903296,-0.0311886452195305,-0.004519145918444111,-0.0692522370506939,0.01040850168133128,-0.05174488103439781,-0.052724498507132574,-0.050906586148622285,0.0031766390313281096,-0.056286877546027084,-0.20904010122375374,-0.20868771354083201,-0.2371837740122346,0.10725445615771528,-0.2289725949199876,-0.22847310736142554,1.0,0.008495906624557393,-0.0668636759016631,0.10211531723672397
SRS,0.24474425870270272,0.05986966574875892,0.16399312996198995,0.11454319545614185,0.16515624939514245,0.1425853503348846,0.0800762770892128,0.13825815020424528,0.07471687276692184,0.23004135768141554,0.044463119112639046,0.06376117472819497,0.015369004036838569,0.2366146797494663,0.08760979101225187,0.17085672599165289,0.16532322717080064,0.15639577969433183,0.1485312554228386,0.06542588390497152,0.13202460181069256,0.11181192164909917,0.20192630051848548,0.07975454502298054,0.072689502296719,-0.02124905137481076,0.8813143133634589,0.8782314581545735,0.8007995404382529,-0.7145069195361963,0.9710809782682938,0.9715380061553054,0.008495906624557393,1.0,0.8451907176305361,0.7243017464421686
OSRS,0.27459314843843,0.04829453498760757,0.18664716683514657,0.08845331052462554,0.17971458218936373,0.08340516590356468,0.04767098107783812,0.11202498503849155,0.009127632198491935,0.15124113547844711,0.034543470076402454,0.07778388441204488,-0.022032582312335326,0.2674429160276687,0.07983122085656387,0.16448358993709503,0.12827990857303798,0.17457228502624444,0.09872841971318672,0.037397369948677234,0.11617479338376849,0.03294254122256448,0.12641418324657486,0.06156149097638315,0.09552593655896713,-0.03355529017333646,0.7561315616235363,0.7549573492480834,0.9579010852586027,-0.2803423984716904,0.8388696430981061,0.8382397202067416,-0.0668636759016631,0.8451907176305361,1.0,0.24376256827861728
DSRS,0.09015733229889891,0.046151241245304044,0.056600494656494055,0.09350051809201212,0.06781207039519498,0.1506707790916117,0.08417919421383885,0.10554831997375529,0.12359200812661209,0.22158423931798527,0.03651069858840628,0.015269643750441365,0.0565359171225917,0.08402340265758235,0.05569972855665889,0.0976917618270777,0.1339776331351065,0.05902639861392715,0.1414323582622402,0.07080948250964708,0.0888741358488934,0.16020491645729687,0.20326217622936507,0.06543483984128792,0.008220828370929998,0.004698761695564467,0.6240343106576038,0.6199634522582593,0.2169858219720548,-0.935366869022422,0.679920649456006,0.6815627829601861,0.10211531723672397,0.7243017464421686,0.24376256827861728,1.0
